"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"230";"03/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Pº Donantes de Sangre, 25";"Kildal Oquiñena, Anne";"F00724";"948 130284"
"231";"03/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"232";"03/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"233";"03/12/2023";"10";"21";"Sarriguren";"Pamplona y comarca";"Avda Erripagaña, 24. Ripagaina. Rotonda LIDL y ALDI";"Rubio Echarte, Santiago";"F00731";"948787058"
"234";"03/12/2023";"10";"21";"Tudela";"Tudela Este - Tudela Oeste";"C/ San Marcial, 16. Esq. Paseo de Invierno";"Medrano/Prada Villar/Rondan, Angeles/Jesus A.";"F00499";"948 847559"
"235";"03/12/2023";"21";"10";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"236";"03/12/2023";"21";"9";"Estella-Lizarra";"Estella";"C/ Espoz y Mina, 1. Barrio de San Miguel";"Torres Echeverria, Maria Jose";"F00393";"948 546284"
"237";"03/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"238";"03/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"239";"03/12/2023";"21";"10";"Sarriguren";"Pamplona y comarca";"Avda Erripagaña, 24. Ripagaina. Rotonda LIDL y ALDI";"Rubio Echarte, Santiago";"F00731";"948787058"
"240";"03/12/2023";"21";"10";"Tudela";"Tudela Este - Tudela Oeste";"C/ San Marcial, 16. Esq. Paseo de Invierno";"Medrano/Prada Villar/Rondan, Angeles/Jesus A.";"F00499";"948 847559"
"241";"03/12/2023";"9";"9";"Altsasu / Alsasua";"Altsasu/Alsasua";"C/ Alzania, 1";"Luis de Redin Subira, Maria Rosa";"F00159";"948 562380"
"242";"03/12/2023";"9";"9";"Ancín / Antzin";"Comarca de Estella";"Cra. Vitoria, 20";"Alen Fernandez, Ruben";"F00246";"948 534102"
"243";"03/12/2023";"9";"9";"Aoiz / Agoitz";"Aoiz - Auritz/Burguete";"C/ Domingo Elizondo, 4";"Lera Toston, Maria Yolanda";"F00096";"948 336525"
"244";"03/12/2023";"9";"9";"Bera";"Lesaka";"Pl de los Fueros, 4";"Fernandez Diez, Arantzazu";"F00353";"948 630631"
"245";"03/12/2023";"9";"9";"Carcastillo";"Carcastillo - Olite";"C/ Mayor, 17";"Arbeloa Zabaleta, Maria Angeles";"F00473";"948 715039"
"246";"03/12/2023";"9";"9";"Cascante";"Buñuel - Cascante";"C/ Victoria, 25";"Galipienzo Jimenez, Marta";"F00369";"948 850742"
"247";"03/12/2023";"9";"9";"Cintruénigo";"Corella - Cintruénigo";"C/ Jose María Ligués, 44";"Lozano Sanchez, Maria Jose";"F00301";"948 815051"
