"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"152";"UR000835";"Casa Zabaleta";"Restaurantes";"Segunda/2 Tenedores";"San Ginés 0 S/N";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Asador";"25/08/2005 0:00:00"
"153";"UR000605";"Casa Zanito";"Restaurantes";"Primera/3 tenedores";"Rua Mayor 16";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Casera o regional";"23/03/1990 0:00:00"
"154";"UR001085";"Casanellas Taller Gastronómico";"Restaurantes";"Tercera/1 tenedor";"Espoz y Mina, s/n 0 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, De autor, Innovadora, Oriental, Vegetariana";"25/05/2015 0:00:00"
"155";"UR000298";"Casanova";"Restaurantes";"Segunda/2 Tenedores";"Fray Wenceslao de Oñate 8";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"08/06/1981 0:00:00"
"156";"UR001143";"Casas de Irati";"Restaurantes";"Tercera/1 tenedor";"Selva de Irati 0";"IRATI";"OCHAGAVÍA / OTSAGABIA";"Pirineos";"Casera o regional";"19/04/2022 0:00:00"
"157";"UR000224";"Catachú";"Restaurantes";"Sin definir";"Lindachiquía 16";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"22/07/1981 0:00:00"
"158";"UR001125";"Centro de esquí nórdico Larra-Belagua";"Restaurantes";"Tercera/1 tenedor";"Ctra Isaba-Francia 0 KM 55";"ISABA";"ISABA / IZABA";"Pirineos";"Casera o regional";"09/06/2017 0:00:00"
"159";"UR000523";"Cerveceria Internacional";"Restaurantes";"Segunda/2 Tenedores";"Bayona 48";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"18/04/1988 0:00:00"
"160";"ur000229";"Ché";"Restaurantes";"Sin definir";"Olite, nº 8 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"30/11/2004 0:00:00"
"161";"UR000509";"Chef Claudio";"Restaurantes";"Segunda/2 Tenedores";"Federico Soto 9";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Internacional";"12/05/2005 0:00:00"
"162";"ur000857";"China Imperial";"Restaurantes";"Sin definir";"Pintor Crispín 8";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"26/07/2000 0:00:00"
"163";"ur000393";"Ciaurriz";"Restaurantes";"Sin definir";"Padre Calatayud 14";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/09/1984 0:00:00"
"164";"ur000180";"Ciudad China";"Restaurantes";"Sin definir";"República Argentina, 3 bajo 0 ";"TAFALLA";"TAFALLA";"Zona Media";;"26/07/2004 0:00:00"
"165";"UR000085";"Clinker";"Restaurantes";"Sin definir";"Mayor 1";"OLAZTI/OLAZAGUTIA";"OLAZTI / OLAZAGUTÍA";"Pirineos";"Casera o regional";"05/09/2001 0:00:00"
"166";"ur000768";"Club Social de Profesionales";"Restaurantes";"Sin definir";"Baja Navarra 47";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor";"16/01/2002 0:00:00"
"167";"UR000308";"Cocktail Bar Meeting Point";"Restaurantes";"Segunda/2 Tenedores";"Iturrama 21";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"28/11/1980 0:00:00"
"168";"UR001126";"Codés";"Restaurantes";"Tercera/1 tenedor";"Los Bodegones 0 S/N";"SANSOL";"SANSOL";"Zona Media";;"30/11/2017 0:00:00"
"169";"UR000043";"Coto de la Valdorba";"Restaurantes";"Primera/3 tenedores";"Santa María 17";"SANSOÁIN";"LEOZ / LEOTZ";"Zona Media";"Casera o regional";"07/03/2001 0:00:00"
"170";"UR001058";"Danbolintxulo";"Restaurantes";"Tercera/1 tenedor";"Danbolintxulo s/n 0";"ETXARRI-ARANATZ";"ETXARRI ARANATZ";"Pirineos";"Casera o regional";"28/05/2014 0:00:00"
"171";"UR000891";"Deboca";"Restaurantes";"Sin definir";"Monjardín, 9-11 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Innovadora";"20/04/2006 0:00:00"
"172";"ur000090";"Deportivo";"Restaurantes";"Sin definir";"Aragón, 2C/. Aragón 2 ";"CARCASTILLO";"CARCASTILLO";"La Ribera";;"05/12/2001 0:00:00"
"173";"UR000996";"Disco Bar Charly";"Restaurantes";"Sin definir";"Lavadero 26";"CORTES";"CORTES";"La Ribera";"Casera o regional";"29/07/2010 0:00:00"
"174";"ur000348";"Dom Lluis";"Restaurantes";"Sin definir";"San Nicolas 1";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"02/01/1983 0:00:00"
"175";"UR001128";"Domino's Pizza";"Restaurantes";"Tercera/1 tenedor";"Europa 0 S/N";"TUDELA";"TUDELA";"La Ribera";"Italiano";"29/12/2017 0:00:00"
