"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1464";"UATR0972";"La Casica del Puente";"Apartamento Turístico Rural";"Segunda/2 Llaves";"La Población 1 Puente Románico";"PUENTE LA REINA";"PUENTE LA REINA / GARES ";"Zona Media";"6";"12/11/2019 0:00:00"
"1465";"UVTR0522";"La Casona de Arínzano";"Vivienda Turística Rural";"Lujo/4 Llaves";"CTRA. NA-132 KM. KM.3,1 0 ";"ABERIN";"ABERIN  ";"Zona Media";"8";"15/05/2017 0:00:00"
"1466";"UCR01114";"La Casona De Pitillas";"Casa rural vivienda";"CRV 3 Estrellas";"Juan Carlos I 1 ";"PITILLAS";"PITILLAS  ";"Zona Media";"4";"03/07/2017 0:00:00"
"1467";"UVT00284";"La Casona de Sandalio";"Vivienda Turística";"Primera/3 Llaves";"Mesón 44 ";"CINTRUÉNIGO";"CINTRUÉNIGO ";"La Ribera";"10";"19/09/2013 0:00:00"
"1468";"UATR0244";"La Central";"Apartamento Turístico Rural";"Tercera/1 Llave";"San Martín 12 ";"AZPARREN";"ARCE / ARTZI  ";"Pirineos";"4";"20/08/2012 0:00:00"
"1469";"UCR01051";"La Cerrada";"Casa rural vivienda";"CRV 3 Estrellas";"De la Estación 2 ";"MARCILLA";"MARCILLA  ";"La Ribera";"8";"02/10/2015 0:00:00"
"1470";"UCR00797";"La Coquetona";"Casa rural vivienda";"CRV 3 Estrellas";"San Sebastian 7 ";"GREZ";"URRAÚL BAJO ";"Pirineos";"7";"25/05/2007 0:00:00"
"1471";"UCR01096";"La Cuca";"Casa rural vivienda";"CRV 4 Estrellas";"Tahona 14 ";"LERÍN";"LERÍN ";"La Ribera";"10";"14/11/2016 0:00:00"
"1472";"UAT01136";"La Estrella";"Apartamento Turístico";"Tercera/1 Llave";"Carnicerías 13 2º";"TUDELA";"TUDELA  ";"La Ribera";"6";"13/05/2021 0:00:00"
"1473";"UCR01122";"La Fragua De Etayo";"Casa rural vivienda";"CRV 1 Estrella";"Aldaya  10 ";"ETAYO";"ETAYO ";"Zona Media";"8";"05/02/2018 0:00:00"
"1474";"UAB00032";"La Fuente-Casa de Austria";"Albergue turístico";"2ª del Camino de Santiago";"Del Estanco 5 ";"LOS ARCOS";"LOS ARCOS ";"Zona Media";"22";"28/04/2008 0:00:00"
"1475";"UAT00158";"La Harinera";"Apartamento Turístico";"Segunda/2 Llaves";"La Harinera-Irindegia 3 3ºc";"AOIZ";"AOIZ / AGOITZ ";"Pirineos";"5";"23/12/2009 0:00:00"
"1476";"UAB00121";"La Hostería de Curtidores";"Albergue turístico";"1ª del Camino de Santiago";"Curtidores 43 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"45";"20/11/2017 0:00:00"
